time,coin,funding,open_interest,prev_day_px,day_ntl_vlm,premium,oracle_px,mark_px,mid_px,impact_bid_px,impact_ask_px
2023-06-01 00:00:00+00:00,BTC,0.0001,5.40137,27682.0,2237594.1677,0.00015436,27210.0,27198.8,27201.0,27194.3,27234.1
2023-06-01 01:00:00+00:00,BTC,0.0001,5.40655,27740.0,2305344.40351,0.00018473,27066.0,27056.3,27060.0,27055.1,27086.9
2023-06-01 02:00:00+00:00,BTC,0.0001,5.38068,27732.0,2327985.53571,5.539e-05,27079.0,27067.4,27065.5,27059.1,27101.9
2023-06-01 03:00:00+00:00,BTC,0.0001,1.58283,27658.0,4046983.40647,-0.00036117,26719.0,26706.5,26706.0,26695.4,26723.3
2023-06-01 04:00:00+00:00,BTC,0.0001,1.85307,27649.0,4756145.76324,-0.00023152,26780.0,26770.3,26769.5,26762.2,26785.4
2023-06-01 05:00:00+00:00,BTC,0.0001,1.99113,27233.0,3955066.03846,-0.0001884,26804.0,26793.8,26798.0,26786.4,26811.5
2023-06-01 06:00:00+00:00,BTC,0.0001,2.09776,27016.0,3810718.32909,-0.00018623,26849.0,26837.7,26841.5,26831.4,26856.6
2023-06-01 07:00:00+00:00,BTC,0.0001,2.22405,27143.0,3777626.40002,-0.00031548,26785.0,26774.7,26778.0,26764.5,26788.6
2023-06-01 08:00:00+00:00,BTC,0.0001,2.34406,27183.0,3781065.11129,-0.00019402,26802.0,26793.2,26792.0,26782.4,26811.2
2023-06-01 09:00:00+00:00,BTC,5.291e-05,2.44406,27102.0,3853435.90855,-0.00026567,26913.0,26904.3,26903.0,26894.2,26917.5
2023-06-01 10:00:00+00:00,BTC,4.998e-05,2.47682,27124.0,3859267.87801,-0.00026385,26909.0,26899.6,26897.5,26890.8,26913.0
2023-06-01 11:00:00+00:00,BTC,5.216e-05,2.47682,27085.0,3859112.4442,-0.00037229,26861.0,26851.0,26846.0,26838.2,26863.8
2023-06-01 12:00:00+00:00,BTC,5.072e-05,2.49908,27079.0,3867028.99573,-0.00017663,26893.0,26883.6,26883.5,26874.3,26902.2
2023-06-01 13:00:00+00:00,BTC,4.374e-05,2.49908,27092.0,4087929.12633,-0.00030621,26942.0,26930.0,26928.0,26920.3,26947.2
2023-06-01 14:00:00+00:00,BTC,3.371e-05,2.38057,27101.0,4154979.57539,-0.00016547,26893.0,26883.9,26891.5,26877.7,26899.4
2023-06-01 15:00:00+00:00,BTC,3.357e-05,2.45827,27076.0,4197909.4893,-0.00018961,26897.0,26887.6,26888.5,26877.5,26906.3
2023-06-01 16:00:00+00:00,BTC,-0.00014801,2.03003,26920.0,4208990.22714,-0.00044801,26897.0,26885.5,26883.5,26870.5,26899.4
2023-06-01 17:00:00+00:00,BTC,-3.221e-05,2.12156,26937.0,5636590.41282,-0.00043923,27093.0,27083.1,27083.0,27068.6,27093.6
2023-06-01 18:00:00+00:00,BTC,5.1e-07,1.71,27046.0,6216605.73969,-0.00021144,26958.0,26948.5,26948.5,26939.3,26965.3
2023-06-01 19:00:00+00:00,BTC,1.253e-05,1.71,27036.0,6304076.34036,-0.00016503,26965.0,26956.2,26960.5,26948.1,26973.0
2023-06-01 20:00:00+00:00,BTC,1.16e-06,1.71,27052.0,7485813.83386,-0.00050069,26863.0,26850.2,26850.5,26837.5,26861.6
2023-06-01 21:00:00+00:00,BTC,-1.422e-05,1.70962,27103.0,7504690.45888,-0.00041693,26863.0,26850.7,26851.0,26839.1,26864.5
